 ! Fichier pour convertir les lettres grecques de Beta-Code en Utf-8 et réciproquement				
 ! Dans le sens Beta-Code --> utf-8, l'ordre a son importance :				
 ! - les lettres les plus décorées passent devant  !				
 ! Pour le sens utf-8 --> betacode, j'ai gardé les alpha […] with tonos,				
 ! qu'il ne faut pas utiliser (remplacés par alpha […] with oxia).				
 !				
 ! Philippe, juin 2014.				
 !				
 !\	U+0300	̀	204128	COMBINING GRAVE ACCENT
 !/	U+0301	́	204129	COMBINING ACUTE ACCENT
 !	U+0302	̂	204130	COMBINING CIRCUMFLEX ACCENT	
 !	U+0303	̃	204131	COMBINING TILDE	
 !	U+0304	̄	204132	COMBINING MACRON	
 !	U+0305	̅	204133	COMBINING OVERLINE	
 !	U+0306	̆	204134	COMBINING BREVE	
 !				
 ! 5 caractères				
 !				
*)\a|	U+1F8A	ᾊ	225190138	GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI
*(\a|	U+1F8B	ᾋ	225190139	GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI
*)/a|	U+1F8C	ᾌ	225190140	GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA AND PROSGEGRAMMENI
*(/a|	U+1F8D	ᾍ	225190141	GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMENI
*)=a|	U+1F8E	ᾎ	225190142	GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
*(=a|	U+1F8F	ᾏ	225190143	GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
*)\h|	U+1F9A	ᾚ	225190154	GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA AND PROSGEGRAMMENI
*(\h|	U+1F9B	ᾛ	225190155	GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA AND PROSGEGRAMMENI
*)/h|	U+1F9C	ᾜ	225190156	GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA AND PROSGEGRAMMENI
*(/h|	U+1F9D	ᾝ	225190157	GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA AND PROSGEGRAMMENI
*)=h|	U+1F9E	ᾞ	225190158	GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
*(=h|	U+1F9F	ᾟ	225190159	GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
*)\w|	U+1FAA	ᾪ	225190170	GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA AND PROSGEGRAMMENI
*(\w|	U+1FAB	ᾫ	225190171	GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA AND PROSGEGRAMMENI
*)/w|	U+1FAC	ᾬ	225190172	GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA AND PROSGEGRAMMENI
*(/w|	U+1FAD	ᾭ	225190173	GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA AND PROSGEGRAMMENI
*)=w|	U+1FAE	ᾮ	225190174	GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
*(=w|	U+1FAF	ᾯ	225190175	GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
 !				
 ! 4 caractères				
 !				
*)\a	U+1F0A	Ἂ	225188138	GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA
*(\a	U+1F0B	Ἃ	225188139	GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA
*)/a	U+1F0C	Ἄ	225188140	GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
*(/a	U+1F0D	Ἅ	225188141	GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA
*)=a	U+1F0E	Ἆ	225188142	GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI
*(=a	U+1F0F	Ἇ	225188143	GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI
*)\e	U+1F1A	Ἒ	225188154	GREEK CAPITAL LETTER EPSILON WITH PSILI AND VARIA
*(\e	U+1F1B	Ἓ	225188155	GREEK CAPITAL LETTER EPSILON WITH DASIA AND VARIA
*)/e	U+1F1C	Ἔ	225188156	GREEK CAPITAL LETTER EPSILON WITH PSILI AND OXIA
*(/e	U+1F1D	Ἕ	225188157	GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
*)\h	U+1F2A	Ἢ	225188170	GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA
*(\h	U+1F2B	Ἣ	225188171	GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA
*)/h	U+1F2C	Ἤ	225188172	GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA
*(/h	U+1F2D	Ἥ	225188173	GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA
*)=h	U+1F2E	Ἦ	225188174	GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI
*(=h	U+1F2F	Ἧ	225188175	GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI
*)\i	U+1F3A	Ἲ	225188186	GREEK CAPITAL LETTER IOTA WITH PSILI AND VARIA
*(\i	U+1F3B	Ἳ	225188187	GREEK CAPITAL LETTER IOTA WITH DASIA AND VARIA
*)/i	U+1F3C	Ἴ	225188188	GREEK CAPITAL LETTER IOTA WITH PSILI AND OXIA
*(/i	U+1F3D	Ἵ	225188189	GREEK CAPITAL LETTER IOTA WITH DASIA AND OXIA
*)=i	U+1F3E	Ἶ	225188190	GREEK CAPITAL LETTER IOTA WITH PSILI AND PERISPOMENI
